id,price,price_currency,manufacturer,beds,baths,lot_size,image_url
21e587f7006c48609d836edf426ec4f0,274900,USD,Resolution Realty,2,2,6098,https://ap.rdcpix.com/442778217/dcd913be5a7bdeedbbb320711091c466l-m0xd-w480_h480_q80.jpg
41b19fb16b724ddeb2b50e78fee45647,215000,USD,Windermere Prestige Properties,4,2,6534,https://ap.rdcpix.com/2010833659/83517e1cf813465ed46828d0d4f6a3dbo-c0s.jpg
e06fb00344ec435a9d35b567c9a3a99f,369900,USD,Addicted Realty LLC,4,,3485,https://ap.rdcpix.com/1474030696/545bdd45d34c55a43d4db1aa72627e99l-m0xd-w480_h480_q80.jpg
350e1ada0ffd490d8225776b237ada17,,,,,,,
df7fbc522a4f4cb09377dec0e9a659e9,,,,,,,
a85ae14f9b3a4654ae03ea3432660a9d,130000,USD,Urban Nest Realty,3,2,6970,https://ap.rdcpix.com/945082891/8ea0ac4fb45a6e20ee2d5aa15af52aa9l-m0xd-w480_h480_q80.jpg
eb742d5529f445f4b9c1ac90ad546ce9,179999,USD,O48 Realty,5,2,7405,https://ap.rdcpix.com/1722388309/252691956b7181c659caa61a62d395c8l-m0xd-w480_h480_q80.jpg
733aa02a9c9942928d04d019dc52a777,279000,USD,Addicted Realty LLC,3,2,3920,https://ap.rdcpix.com/942246716/519948ab11f0fff106ef8f4d4e46803fl-m0xd-w480_h480_q80.jpg
e70dc1c7582d418f9f6d9d10aab45446,345000,USD,Bhhs Nevada Properties,3,,4356,https://ap.rdcpix.com/12200613/a65e148369d0024888bf4ebe0031b8cbl-m0xd-w480_h480_q80.jpg
785fa7d23dc6413fa4f4e67668ec17e5,1500000,USD,Win Win Real Estate,3,4,,https://ap.rdcpix.com/1519444064/3df9c1f5ebba6dc98f944db03e7c3ab5l-m0xd-w480_h480_q80.jpg
053754d09e2544549672fa5fbf7817fa,264999,USD,TR Realty,3,3,1742,https://ap.rdcpix.com/508808665/690e8e210dbb3dd15bfdca61707172c2l-m0xd-w480_h480_q80.jpg
4dd05e009cf24983a4d9eee05834da16,143278,USD,Las Vegas Realty Center,2,2,5227,https://ap.rdcpix.com/1071327429/1796d0ee75b7b8c46f307853d1d576b1l-m0xd-w480_h480_q80.jpg
1dee490527b1466984765bbb7defe0de,180000,USD,TR Realty,2,1,6970,https://ap.rdcpix.com/1445449169/dc9bf22f393d5e9ede7529745bb8590cl-m0xd-w480_h480_q80.jpg
3b1587543dcb44aab7db1c4b0881aace,,,,,,,
c2c1a9b5cc344bb7810a6112c84c9f10,,,,,,,
c151d60b7c1048a4a5b633ffeb5ca391,724999,USD,"Huntington & Ellis, A Real Estate Agency",4,,,https://ap.rdcpix.com/1446471381/5488fd7b97ea37b9f463ad4edb993425l-m0xd-w480_h480_q80.jpg
83aab37af8164112afc5ee78dd4fd60d,218999,USD,Fathom Realty,3,3,6970,https://ap.rdcpix.com/1439075093/f5951ebbcd9b868f9d9427e5c3f77324l-m0xd-w480_h480_q80.jpg
ff1cf286153541dfbb4ec49376b41aa1,467000,USD,Century 21 Americana,5,,6534,https://ap.rdcpix.com/2003386279/984927a55beb2e77e742fad78e38704bl-m0xd-w480_h480_q80.jpg
45146efff0dd412dbaaacbcce6f6a73e,294900,USD,Offerpad,4,,3920,https://ap.rdcpix.com/1899882316/0b8fb6605aadfa5b345a474b9fc7e1c7l-m0xd-w480_h480_q80.jpg
dc10168d174a4a4abc2547a3d06fdc90,264900,USD,Performance Realty Inc,3,,2178,https://ap.rdcpix.com/1273075845/3b6c548be7db141924150e1348802627l-m0xd-w480_h480_q80.jpg
248cbd9944e54a3b87f9b309400860f8,305000,USD,EXP Realty,3,2,,https://ap.rdcpix.com/1466880638/b070fe4a444556dae72327b928ff9b04l-m0xd-w480_h480_q80.jpg
d6a46158dc864fe989124c2b598a0d3d,650000,USD,Realty ONE Group - HENDERSON,4,,,https://ap.rdcpix.com/1929601674/83ddcfef672c2d5bd0772d0ba66bb4fcl-m0xd-w480_h480_q80.jpg
8ae1b43ee0e343f98fa097f132278478,260000,USD,Award Realty,3,2,6970,https://ap.rdcpix.com/1483580551/afbb036ab2415e276c90b88c46d6cea7l-m0xd-w480_h480_q80.jpg
