id,price,price_currency,manufacturer,beds,baths,lot_size,image_url
0cd8b290bac2482593fa3abd0f1990c9,799000,USD,Coldwell Banker Residential Brokerage - Pasadena,3,2,9214,https://ap.rdcpix.com/342403921/7b7f216dd64f8292df62da21be88ac08o-w0s.jpg
572796a842aa4eab840b0968cbc594e3,1798000,USD,Lotus Estate Properties,3,,6353,https://ap.rdcpix.com/949195775/7eccaab3ef24eb8a38eb4facfaaf6149l-m0xd-w480_h480_q80.jpg
58ae35ee69ff437285d2b46773d60428,2260000,USD,On Track Property,4,2,7593,https://ap.rdcpix.com/1076201126/4de09e6646b123576e97fafde1e7eaa7l-m0xd-w480_h480_q80.jpg
82cdc7206d4346d9a88e091a110cc0c6,,,,,,,
db5fdf91416949ae9fc875162dbc994f,,,,,,,
4586962f8cb44f4990941accda3d7d12,556000,USD,Berkshire Hathaway Dtla,2,1,4801,https://ap.rdcpix.com/1171729976/3d9dd038af83fc162fe9c5cd2a2bb479l-m0xd-w480_h480_q80.jpg
a34a09eaa98644bea80d56e6cdd4d520,985000,USD,Pacific Union International,4,3,,https://ap.rdcpix.com/1109388985/30ec9fda4e1285916257f5d55efb8c2el-m0xd-w480_h480_q80.jpg
ab14e1f49ae3480f99ce9a72f8a3c1cd,469000,USD,Huntington Real Estate,2,1,4800,https://ap.rdcpix.com/922807105/ef7aa1b6454418d0dac2bb60c3dbb1c0l-m0xd-w480_h480_q80.jpg
fc5f62f7a5f44fef9343a8815b74b6c8,460000,USD,Coldwell Banker Hallmark Realty,3,2,5758,https://ap.rdcpix.com/334678665/a47b8fcf9aa7228a1aa19d28acba2434l-m0xd-w480_h480_q80.jpg
f461ad4c0b304145b6b0445afac27aae,700000,USD,Pinnacle Estate Properties,3,2,3205,https://ap.rdcpix.com/1979853820/9fb4cfa467d634eb8ada21dd4efad79fl-m0xd-w480_h480_q80.jpg
07c39ac6ab144161bcb1ff7f382eff06,1600000,USD,"AFD Realty, Inc.",2,,6754,https://ap.rdcpix.com/877080205/4dabacb5cdcd3c1b3c4dba6bb3057d5fl-m0xd-w480_h480_q80.jpg
f52c5094e56a461a927f388681828c2f,1149000,USD,Coldwell Banker Residential Brokerage - Arcadia,3,,5534,https://ap.rdcpix.com/342403921/79d37f1a1c0d2b2bb3da3e4baea12ba5o-w0s.jpg
c28db50c47fc4487b67b1c8f78b5081e,2095000,USD,RE/MAX ESTATE PROPERTIES,5,4,6322,https://ap.rdcpix.com/715448635/f409e6033f4052f293c94c0eb49b136al-m0xd-w480_h480_q80.jpg
86ab31eaab4a49c1bbadfb2b0055a4ef,,,,,,,
5ae48150d10040e3b2668dd5a34670f4,,,,,,,
b3dfdd1b6b644d9182796cbdabb74b67,690000,USD,Century 21 Peak,3,2,4808,https://ap.rdcpix.com/829833890/82eab731a690eaaec2d7981394112b77l-m0xd-w480_h480_q80.jpg
50ae88ac27d7453b8de5b6f7276d1086,1679000,USD,Heyler Realty,3,,5891,https://ap.rdcpix.com/1969178264/7d691055d25eaadd20ee50afbe52c40cl-m0xd-w480_h480_q80.jpg
6dd72849f5b845d8a7094c9ae661997f,999999,USD,Prospect Group Inc.,2,1,1749,https://ap.rdcpix.com/1971556211/4c49cda7d48690c8f4e976068c6349cel-m0xd-w480_h480_q80.jpg
b915699447f7457a8bcdd7f3e5724ac9,2195000,USD,Sotheby's International Realty - Beverly Hills Brokerage,5,,6094,https://ap.rdcpix.com/151237826/35dbe71b7ff5e11c7d2bdd79c02ee1deo-w0s.jpg
48c4bd494aea4d0fa8fecd81b13a35f8,539000,USD,KELLER WILLIAMS REALTY,2,1,7579,https://ap.rdcpix.com/1008223323/66e11035f8349c10e7fd81965003ebc5l-m0xd-w480_h480_q80.jpg
96171f1b9b6044b8a8231a300223fa86,625000,USD,Berkshire Hathaway HomeServices,2,2,5427,https://ap.rdcpix.com/857928835/b9cd2d69699d01a0a161aafc505883eco-c0s.jpg
e1a07c895b914f06b2d1bbe1e0832421,450000,USD,CA Financial & Rlty,2,1,2817,https://ap.rdcpix.com/593212335/1e261be3fffcd592ce9c4aeea3879619l-m0xd-w480_h480_q80.jpg
e70364c55a0741f5982366283a9752a4,5150000,USD,Pacific Union International  - Brentwood East,4,,,https://ap.rdcpix.com/68524056/35e9a817be2aea78f6f44c3fa398277al-m0xd-w480_h480_q80.jpg
aa511ea9d4964b9081ce05a591fab4a2,2400000,USD,Douglas Elliman - Beverly Hills,3,,3099,https://ap.rdcpix.com/634259708/ca4f949d4d6b51e181f02d5ff7fa24d3o-c0s.jpg
8f70044199604f0393a03a5a1ae8b1c8,719000,USD,Coldwell Banker Spectrum,3,2,6091,https://ap.rdcpix.com/1476066202/ad2d7ff1f7555d671218549984efb918l-m0xd-w480_h480_q80.jpg
985b1172ed7d4287adad78c6ab4ce0c8,850000,USD,Berkshire Hathaway Homeservices California Properties,3,2,8488,https://ap.rdcpix.com/1164693218/b7be7a6f62181991564345d380ebc701l-m0xd-w480_h480_q80.jpg
c989f586d98e4f3dbeea391d979a022e,,,,,,,
a8f4939b221a4acfa90821586c8997d2,,,,,,,
128b5d72f12d45ed97d75e9bf5460fc6,2388800,USD,C-21 ASTRO,4,3,6335,https://ap.rdcpix.com/1150967363/8c5a31d8ca707dccae3cf6e3f88ffd05l-m0xd-w480_h480_q80.jpg
8efe33ae4ed7485bba86f4165bc03a03,2699000,USD,Keller Williams Beverly Hills,6,,,https://ap.rdcpix.com/1322995879/557a3c495a61f808e026585335121755l-m0xd-w480_h480_q80.jpg
784f4106900540d7bfcd0f2f1a431ae9,449888,USD,Keller Williams Covina,3,1,5401,https://ap.rdcpix.com/1369331527/a663b66e4129212ecdc15932f17112d2l-m0xd-w480_h480_q80.jpg
ecfd98ce01134781abdfd33b2e474e02,639000,USD,Coldwell Banker George Realty,2,1,4000,https://ap.rdcpix.com/154526397/859eb1be4e1cb5d83cf4d38e082e83d9l-m0xd-w480_h480_q80.jpg
4502b9cdf359475f9573832c05a135a6,1995000,USD,JP Investment Real Estate Group,3,1,7471,https://ap.rdcpix.com/609284679/13242bbc683bfcec66915934df501be9l-m0xd-w480_h480_q80.jpg
a20332c8c5104bb3b14e30bdab20eaf4,1995000,USD,JP Investment Real Estate Group,6,3,7481,https://ap.rdcpix.com/609284679/daaa7bcb8b15e0c14104e7126d2b3c31l-m0xd-w480_h480_q80.jpg
11d1713ee50548bc9df0cfb240b993df,1749000,USD,Keller Williams Realty Los Feliz,3,2,6437,https://ap.rdcpix.com/468006878/04976a67b386b5eb29bbd683e0076fc3l-m0xd-w480_h480_q80.jpg
08de52474e524988928a7c163585db8d,2975000,USD,Deasy Penner & Partners,3,,,https://ap.rdcpix.com/69405490/2d8ab63d46327c63e4ebdd31b9d5aa22l-m0xd-w480_h480_q80.jpg
4de45a366a7c40d2aa3e9fe3bf40423b,2790000,USD,Redpoint Realty,10,,7532,https://ap.rdcpix.com/854134012/68f643545b19e6f81c7a74e371e07b0el-m0xd-w480_h480_q80.jpg
9dbe3553c73d4ad0b0ace3c848589c99,769999,USD,Compass,3,2,4994,https://ap.rdcpix.com/1586772439/9ea66a066bb8d45cf57920948c33d2f7l-m0xd-w480_h480_q80.jpg
e81211058c5b4a5785050e5fe5ec8ad1,599000,USD,Huntington Group,2,1,4259,https://ap.rdcpix.com/504633809/c88a9a52005958c0a0fa1fd91a9e8e8el-m0xd-w480_h480_q80.jpg
bf4cc3da7df14df3b752c57d5fa5a018,,,,,,,
1a8628550656467e8d40fd2d2e60afcf,,,,,,,
9d4e5d8f268748d9b986c4da0c0f71d5,13495000,USD,NOURMAND & REALTORS - BEVERLY HILLS,8,12,,https://ap.rdcpix.com/1540856085/fff5b84f98612b94449866526d93adfal-m0xd-w480_h480_q80.jpg
0871c5f6c1c04b3e934b3f64519fba75,749000,USD,Coldwell Banker George Realty,2,2,6001,https://ap.rdcpix.com/1256751052/a1aae1de08546d80842c866dc1622821l-m0xd-w480_h480_q80.jpg
f4e065ad81de410ea8802fae3e05c23d,399000,USD,A Job Well Done,4,2,5104,https://ap.rdcpix.com/701050630/c02a380d66269f1d05a761aab3d3bc2fl-m0xd-w480_h480_q80.jpg
8d317fdb9e584caa9464f2c352d7a269,9200000,USD,,6,,,https://ap.rdcpix.com/233477566/cad9e9ce9f7adf7c12bc5ad693f17d75l-m0xd-w480_h480_q80.jpg
673bdf0eeed7428c8807c6f441a28edf,375000,USD,Nationwide Real Estate Execs,3,2,6475,https://ap.rdcpix.com/1468583520/3f8d005bcabf14d85003396659e2be18l-m0xd-w480_h480_q80.jpg
33c6aaffa5de47abaf79059adede12f2,724900,USD,Keller Williams Realty,2,1,4857,https://ap.rdcpix.com/998210234/fe17ba52df70b02fe9d8451ce237c199l-m0xd-w480_h480_q80.jpg
2ed52bdf1207447aa3ac6f719d8f92c1,419999,USD,Priority Real Estate & Lending,3,1,3689,https://ap.rdcpix.com/1929994068/0d70e096b642796eebf94508aea64063l-m0xd-w480_h480_q80.jpg
35beecae10294f8997645c6394096648,649000,USD,"Lw Realty, Inc.",3,1,3136,https://ap.rdcpix.com/740310338/23837f0dfd2b9a89fc080067099418d5l-m0xd-w480_h480_q80.jpg
426fe5b9005248d5be5ba9c6f26d36fd,1000000,USD,The New Home Company,2,2,,https://an.rdcpix.com/1600886568/e935efd65cd5c29a938abb57ccde8d84n-f1s.jpg
746fdcb5c0dc44729992a735035157cf,2199000,USD,CENTURY 21 Albert Foulad Realty,4,2,8775,https://ap.rdcpix.com/422360091/c450f0de84fecea5a3573f184465bf44l-m0xd-w480_h480_q80.jpg
1516640115f94f8199af77073e6bb0e9,749000,USD,Keller Williams-Santa Monica,2,1,2501,https://ap.rdcpix.com/563237007/e9e57f0edacfa95fcd97857645958bc9l-m0xd-w480_h480_q80.jpg
506f6a08484348dcafd2fa8909fce56d,650000,USD,Keller Williams Realty Hollywood Hills,2,1,2454,https://ap.rdcpix.com/1054508244/a4a5e4f5723b8d4cb3beed23004352d4l-m0xd-w480_h480_q80.jpg
295fe4f6a9aa42818e2fbbcec78700ee,2995000,USD,Keller Williams Realty Downtown LA,4,,6103,https://ap.rdcpix.com/2007763692/76cd7f29482c0025e9eb145dcf173be4l-m0xd-w480_h480_q80.jpg
05634de9ed73475f85c410261fa1253d,399000,USD,Century 21 A Better Service,2,1,2073,https://ap.rdcpix.com/818432395/244d72c11063a8c527a4d83a189f1627l-m0xd-w480_h480_q80.jpg
d99f14330cb444fb9170ed2b5d01060b,1900000,USD,Keller Williams Realty Los Feliz,2,2,,https://ap.rdcpix.com/584048387/1a9f8118e5ce1e06d0cff638d5238715l-m0xd-w480_h480_q80.jpg
0eceea095bd34bcf8c852c2d8770a0b6,,,,,,,
