id,price,price_currency,manufacturer,beds,baths,lot_size,image_url
5497b04dc4d440b6b9b0f661a3ced19c,1195000,USD,Re/Max Real Estate Professiona,,,1900,https://ap.rdcpix.com/1310116081/145b9cd65e240b3a5df24f5791658652l-m0xd-w480_h480_q80.jpg
eb10b7523c724d3ea71e9b12ef582918,685000,USD,Realty Pros,4,,3000,https://ap.rdcpix.com/1186809776/11d8171a5c49bf662a267c727639dab1l-m0xd-w480_h480_q80.jpg
09be5958d3ea4b15ba9e0895220acdb5,565000,USD,Richmond Homes Real Estate Inc,3,,3150,https://ap.rdcpix.com/1924985123/5eb75aee0b4e09d32674256094d6231el-m0xd-w480_h480_q80.jpg
77e9cbc5f69d4ae3994e5c51e90f981d,,,,,,,
27a41167381b47618f9ce24fb27ec228,,,,,,,
92d764a2b95f4f4b82dc5f8f1dd27481,549000,USD,Exit Realty Success,3,,2842,https://ap.rdcpix.com/1668794526/e2d0c184be837a03278f58f11daebca1l-m0xd-w480_h480_q80.jpg
3921fa9a38924b6b86a8c82106c77a3e,1970000,USD,Corcoran Group - West Side,2,1,,https://ap.rdcpix.com/874951483/c9f13dcc8918f1dd49bdca7bb782c42ao-c0s.jpg
3c0fe69c34a543a3ba14748a261ad5fd,1508888,USD,E Realty International Corp,5,3,7616,https://ap.rdcpix.com/691884604/80c4d915c87930fc960ffd25dff5d5bcl-m0xd-w480_h480_q80.jpg
19d25c55923e41ef846903e7aff892db,1550000,USD,"Kms Realty Group, Inc.",4,,,https://ap.rdcpix.com/57063272/c0cfee3c4f676bffea89c0783d7d81cel-m0xd-w480_h480_q80.jpg
e6f306ce91a0409b9cccbad4f80ee52e,539000,USD,Coldwell Banker Kueber Realty,3,,1500,https://ap.rdcpix.com/1824484423/ab56ab54607158b120928c5c0508e3d7l-m0xd-w480_h480_q80.jpg
a692602de01e425da905c678423d5e2f,599000,USD,Realty Of Douglaston,2,,2800,https://ap.rdcpix.com/1672760368/378905a6c9106f454975ed8daf9dcc20l-m0xd-w480_h480_q80.jpg
b91d6736d0764a6f9f919d4cc62df17b,9950000,USD,Vandenberg -The Townhouse Experts,6,7,,https://ap.rdcpix.com/1941484952/9e541e9d76259f2e39be5ad15831cf38l-m0xd-w480_h480_q80.jpg
f0f17fcd21ab48e3aa5d44e2ef688ff8,849900,USD,Corcoran Group - West Side Gallery,2,1,,https://ap.rdcpix.com/874951483/c9f13dcc8918f1dd49bdca7bb782c42ao-c0s.jpg
75d27263847f47b8a0ae73759684c5ed,,,,,,,
67250b391c01420d98f4b460f989dcf9,,,,,,,
7c5c51a8e4ee42c5a7f85d1ffc46bf2f,499000,USD,Karl Mohan Realty Group Inc,3,2,4428,https://ap.rdcpix.com/1634002725/bb02184aa64d1507c759d69b7aa6e250l-m0xd-w480_h480_q80.jpg
1b43632c71924474b6c8f1f0e6180fe7,585000,USD,Century 21 Milestone Realty,4,,5636,https://ap.rdcpix.com/590206542/b8e4277c4e535315d6cd26697d2e9230o-c0s.jpg
adcdcf0395944e37adbe347e3dc6b673,1400000,USD,Abion Llc,3,1,1072,https://ap.rdcpix.com/605860295/aee389e1cadb8ac46ce28b6d78e1b16cl-m0xd-w480_h480_q80.jpg
9c08f0d7308e4dd8921b7c44bffb158a,359000,USD,RealEstateSINY,3,2,2120,https://ap.rdcpix.com/635155611/ad017a6b5eec43132e492450c32a7e07l-m0xd-w480_h480_q80.jpg
a14dc10946fa494c862156231fb08bc7,619000,USD,Fillmore Real Estate,3,1,2000,https://ap.rdcpix.com/2094478080/3cc3545267a23004d1a9bd0c94b0d6bdl-m0xd-w480_h480_q80.jpg
