id,price,price_currency,manufacturer,beds,baths,lot_size,image_url
286a8c23af0f4912b5a0d40d2637a3c9,575000,USD,Keller Williams Rty Gold Coast,3,,2000,https://ap.rdcpix.com/462852720/135a8c4ef9363d190ab7f2d1e0d44264l-m0xd-w480_h480_q80.jpg
60d10584b7f24054a3d9c718a24d3377,1050000,USD,M&M HOMES INC.,4,5,8000,https://ap.rdcpix.com/1218190596/d40b61f466b04502cf59c40d7ac3ea94l-m0xd-w480_h480_q80.jpg
c0e4b36889d54bfab8d6bcdcb9d60df6,599000,USD,ROCKAWAY PROPERTIES,2,1,2642,https://ap.rdcpix.com/1862210786/42537b1417f19d721a08e20525fb358bl-m0xd-w480_h480_q80.jpg
13ebfb98f5fa4a5aba01b3b7b265e6a3,,,,,,,
a0a2356c276040f389e787d93d49fb76,,,,,,,
641467030257415e8b18599b9481d20c,529000,USD,Keystone Realty USA Corp,3,3,,https://ap.rdcpix.com/1741656332/eceae49d4e2225d65269ee71f9774f58l-m0xd-w480_h480_q80.jpg
4ba36bae9752417e9f760601b2c2edf5,555000,USD,Lgp Realty Associates Llc,3,,2600,https://ap.rdcpix.com/1732461866/13e22c1760d10ae6752392dca61d8b69l-m0xd-w480_h480_q80.jpg
477ca5a22906424b80109d9c7fdd77ab,829000,USD,"CANGIANO ESTATES, LTD.",5,3,7680,https://ap.rdcpix.com/1080072660/fd6e706af8cca504bf6b3f71c37dfe6el-m0xd-w480_h480_q80.jpg
e65e0578c58b44308996f9b5b6a41cd1,599000,USD,Keystone Realty USA Corp,3,4,2200,https://ap.rdcpix.com/1170790120/0c44535adc41713e4a8023db22479d25l-m0xd-w480_h480_q80.jpg
e79123aa48a04c71bb5b8a251f62d805,1180000,USD,Keller Williams Rlty Landmark,3,3,8530,https://ap.rdcpix.com/1156767712/df4ae68dfbb2378dc2895feb7eaf2452l-m0xd-w480_h480_q80.jpg
db6c0c267d064e82a73f5049090cf571,1590000,USD,Corcoran Group - West Side,3,2,,https://ap.rdcpix.com/874951483/c9f13dcc8918f1dd49bdca7bb782c42ao-c0s.jpg
0a9a64f1f3884dc18fc312889a8ba23a,655000,USD,R Weir Realty Corp,2,,2236,https://ap.rdcpix.com/1946951898/8ae99b221e0d4194423ca120bb4e7475l-m0xd-w480_h480_q80.jpg
76fb9558a17e48ba9d80726ca1821315,879000,USD,Venue Real Estate Group,3,,4715,https://ap.rdcpix.com/1261951878/77492bfd38a492588a704bcf5846f0d0l-m0xd-w480_h480_q80.jpg
a724637feb8d4799a89bbb0e6bc89330,,,,,,,
46d32c655cdc4cf199c1be6538a6c105,,,,,,,
01e306468bc940769246973e6ec0e8da,1650000,USD,Rotola Inc,4,,,https://ap.rdcpix.com/270426919/2c330a3d5330be31b3b2b3cbfccba803l-m0xd-w480_h480_q80.jpg
f6a9db702f704767b6690e5d5c892f94,1368000,USD,1 Home Realty,6,,3800,https://ap.rdcpix.com/138607898/e140d28167452920190311931335003dl-m0xd-w480_h480_q80.jpg
b397416e8ebf43b6a35873ac3e395d03,1599000,USD,Jc Cornerstone Rlty & Mgmt Llc,3,,,https://ap.rdcpix.com/1013469022/e3202961c1580ed0ce610d68c03d809cl-m0xd-w480_h480_q80.jpg
dce8adc46a4f401f9b930d219020ab76,649000,USD,Liberty Home Sales Inc,3,2,2300,https://ap.rdcpix.com/842054423/5950e0128697736ac2022231768959del-m0xd-w480_h480_q80.jpg
ed9cb5d7474b43b9973cc91dc6183fb5,550000,USD,Century 21 Milestone Realty,5,,3000,https://ap.rdcpix.com/590206542/b8e4277c4e535315d6cd26697d2e9230o-c0s.jpg
551f61dfec364266862a6c99f4e70fd6,7715000,USD,Douglas Elliman - 575 Madison Ave,4,5,,https://p.rdcpix.com/v01/of4c12200-c0s.gif
f972e23f18e24c4ea2a77abf216acae6,1030000,USD,Scott Dobrin Realty,5,,4400,https://ap.rdcpix.com/448058069/3f69c8b92ec854ad4bf0bf02be677542l-m0xd-w480_h480_q80.jpg
650e66a1c478438fb8ed0996577856df,550000,USD,Live With Passion Realty Inc,0,,2358,https://ap.rdcpix.com/1458935001/d8b51461e9eda8489afa2af34148830el-m0xd-w480_h480_q80.jpg
73947d8496854d72a0fa60f17710653d,260000,USD,Landmark Residential Inc,3,,1710,https://ap.rdcpix.com/1091658164/d126e83a79d6274eddb2eae3bac22d88l-m0xd-w480_h480_q80.jpg
eb9541fceba1479c9fb7e906c7275f41,710000,USD,Goldgarden Realty Corp,6,2,,https://ap.rdcpix.com/772783408/0e1c4fb80f4eff969c7ffc1d4033b064l-m0xd-w480_h480_q80.jpg
7051e2972412494baae02e2df9b017fc,1500000,USD,Chase Global Realty Corp,4,3,6000,https://ap.rdcpix.com/1465287100/9de8b9e6b54b5e7bdf97c5d48b9b2f3bl-m0xd-w480_h480_q80.jpg
35e275d6fab449ab8692954bb1a34b5f,,,,,,,
60379dc8c81c469a8d90018f0ba6f42f,,,,,,,
00da497914fb40dead9fc620681edace,579000,USD,Victory Express Realty Corp,4,,3074,https://ap.rdcpix.com/958130114/654f6b1543e20b15e714d1b2fb00e988l-m0xd-w480_h480_q80.jpg
ee8819bc669d4f69af44a51cc08514df,968000,USD,Re/Max 1St Choice,3,2,4600,https://ap.rdcpix.com/1310180397/98d272977463f1393e3afde86b0056edl-m0xd-w480_h480_q80.jpg
c8ee1ad3def94758bb77ab892ce18e05,524900,USD,"Kling Real Estate, Ltd.",3,,4000,https://ap.rdcpix.com/2109870311/63a8b6018bf89007f335f217167e4ec0l-m0xd-w480_h480_q80.jpg
e462a55bf5d548b5bc3e3b2646e1e447,658000,USD,Exit Realty Top Properties,3,2,8000,https://ap.rdcpix.com/1322789976/a87c17f57236d1c3105c8cd7d2099c40l-m0xd-w480_h480_q80.jpg
d461f6d74bff44d8ae110701f1e3e419,659900,USD,Kenna Realty,4,,,https://ap.rdcpix.com/1746695431/003e6efecd9a4b97ee59d7d9bc2e5a6fl-m0xd-w480_h480_q80.jpg
fbd542ecdd554bf4b976063014adf83d,639900,USD,"Sherlock Homes Of Ny, Inc.",4,,2475,https://ap.rdcpix.com/626536685/95c0f13f0737836663798c44a387109bl-m0xd-w480_h480_q80.jpg
07fd0715e1424b5193ebd0c370ee655d,829000,USD,Breezes Brokerage Llc,3,1,3000,https://ap.rdcpix.com/1196924771/d1e47dbe772ba423451015c874173cd1l-m0xd-w480_h480_q80.jpg
528440d6a11f40c3bff85f46b2c2293e,3299999,USD,Venue Real Estate Group,5,,,https://ap.rdcpix.com/26332300/00f183f2886fd0cfbbf30728f231c7f6l-m0xd-w480_h480_q80.jpg
8b24979955f14ebaab340235116ae727,735000,USD,O Kane Realty,3,2,2300,https://ap.rdcpix.com/107794324/85b0b081e03920ef12074726d570c37fl-m0xd-w480_h480_q80.jpg
39407d2d0022442780ed3fdab9487083,499000,USD,"Prime Time Real Estate, Inc.",6,2,2500,https://ap.rdcpix.com/2088541452/3bf87a0501164dd9b016c7e3b1a5fc1el-m0xd-w480_h480_q80.jpg
c100411df92d491991e1fa72b6445d2a,349000,USD,Vismith Homes Realty Inc.,3,,2182,https://ap.rdcpix.com/31131641/7aa9bfd307457b1165a2c604e77a4029l-m0xd-w480_h480_q80.jpg
2e0bba1dc1474346ae18c0e255e91ced,,,,,,,
0abd6fc31233423e8382c3ebb475ac06,,,,,,,
8840f3d3ce094c35a19107af75944df5,6400000,USD,Douglas Elliman - 137 Waverly,4,4,,https://p.rdcpix.com/v01/ofcc12200-c0s.gif
33e1791925264628aef294818b6ebf1b,488888,USD,Mark Murphy Properties,3,,3534,https://ap.rdcpix.com/1122524191/3d909535044c90497f12f91bf025a631l-m0xd-w480_h480_q80.jpg
e6bc03005c2e425ca3b1790c57b8c180,4750000,USD,Corcoran Group - East Side,1,2,,https://ap.rdcpix.com/874951483/c9f13dcc8918f1dd49bdca7bb782c42ao-c0s.jpg
5dd111fc7f54407190c86fce8d08cadb,1995000,USD,Corcoran Group - East Side,2,2,,https://ap.rdcpix.com/874951483/c9f13dcc8918f1dd49bdca7bb782c42ao-c0s.jpg
7a9566b6d9b74379bfe434a1d7ed18d4,792000,USD,Corcoran Group - West Side,1,1,,https://ap.rdcpix.com/874951483/c9f13dcc8918f1dd49bdca7bb782c42ao-c0s.jpg
3ad74cc5ff8049a688a6125177e6f09c,759900,USD,NEUHAUS REALTY INC.,4,,4592,https://ap.rdcpix.com/1670018768/7c5d028952b809259e4026a9f406d93dl-m0xd-w480_h480_q80.jpg
d555c2d8ad2b4f9697b23d6bd42f89b0,1098000,USD,Keller Williams Realty Empire,2,2,2875,https://ap.rdcpix.com/640946801/ed2565aebf4137c81a5998ad7963b91bl-m0xd-w480_h480_q80.jpg
97ca7c04f1844eb9853ae67ec544936d,629000,USD,Keller Williams Realty Empire,3,1,1800,https://ap.rdcpix.com/613458936/9a6f767b2dd118c3b984e88c93fa5f0fl-m0xd-w480_h480_q80.jpg
21de8d657d5044d293fbe482ce444bc7,357500,USD,Owners.Com,2,2,1100,https://ap.rdcpix.com/1569179109/f44d7486f4f46deed8fcca23a28420d1l-m0xd-w480_h480_q80.jpg
af81c131fac84a199e3fc1eea2463713,399500,USD,Keller Williams Realty/United Partners,3,1,2749,https://ap.rdcpix.com/1045476974/0a8cd155af291b40d33478e43916578dl-m0xd-w480_h480_q80.jpg
db0ae574e45b4f41b50cbd7f356996cc,650000,USD,Gateway Arms Realty Corp.,4,,6150,https://ap.rdcpix.com/112912794/514b0de3e468fbe7380c31e3be385e42l-m0xd-w480_h480_q80.jpg
fa1e1d9085ea44eca1060c267c61cd53,350000,USD,Corcoran Group - Union Square,1,1,,https://ap.rdcpix.com/874951483/c9f13dcc8918f1dd49bdca7bb782c42ao-c0s.jpg
08503f01be9a447bbc6a174d282d8daa,489000,USD,Keller Williams Realty Empire,3,1,2500,https://ap.rdcpix.com/515273242/c756e0be109b974047601be5f87041e1l-m0xd-w480_h480_q80.jpg
9311f202da1f4cde9701e13ec323122b,449000,USD,Keller Williams Realty Liberty,3,2,2375,https://ap.rdcpix.com/421442254/f0bb359568f90cc9ebe7ae46d3eb5489l-m0xd-w480_h480_q80.jpg
810883d982b04285831903366b1e89f9,685000,USD,One of a Kind Realty Inc,5,,4000,https://ap.rdcpix.com/1272030895/cb96a2ea160f4b2427eaae79ba8d54d6l-m0xd-w480_h480_q80.jpg
b78221d55ab04e9bb7f3cf31b7af523d,,,,,,,
