id,price,price_currency,manufacturer,beds,baths,lot_size,image_url
4dd7c2e6a5c940bca1e8b2f6ff5584fc,575000,USD,Century 21 Select,6,4,5440,https://ap.rdcpix.com/674893505/ffb022261315af6274de4fbf5a83bbd1l-m0xd-w480_h480_q80.jpg
0d9e377eafa14bca80342d7e111ac6cd,569999,USD,Excellence RE Real Estate,4,2,5406,https://ap.rdcpix.com/1959786161/cab8d6e74813bdf5395379b7c6be9ee8l-m0xd-w480_h480_q80.jpg
243c0d27361945b39595a6407a77aa35,4450000,USD,Partners Trust Beverly Hills,6,,6717,https://ap.rdcpix.com/50596792/21f932980c4c18242e6a1b47dd83f7b4l-m0xd-w480_h480_q80.jpg
dea069021cc54b9b9b4814c9c4e313c1,,,,,,,
a97ca985afca4b84a84469297e2d3757,,,,,,,
93dcde6c420349dc9e25fdd050b19a7d,1149000,USD,Compass,3,2,5002,https://ap.rdcpix.com/1310267407/42b4b3d36f9693c60ba20e4f73728f57l-m0xd-w480_h480_q80.jpg
e2ed208fc4ba47928c4b07008a99323e,2395000,USD,Core Real Estate Group,3,3,4571,https://ap.rdcpix.com/227924347/eed63e96f786aef6f16a6036699ae77cl-m0xd-w480_h480_q80.jpg
c54d5b2e1fe24016af711fa9f6e673e8,4900000,USD,Coldwell Banker Residential Brokerage - Brentwood,4,,,https://ap.rdcpix.com/342403921/076f09ae37bc8febe2b318bad4f73314o-w0s.jpg
8821b96e44c346d1a42ce67432dccbc7,360000,USD,REALTY WORLD LONE STAR BROKERS,3,1,5100,https://ap.rdcpix.com/276241808/dd9db0aa69e0a9503958b9e7792fa212l-m0xd-w480_h480_q80.jpg
b63f3b083df14d9d972c159d35e90a60,399000,USD,Wow Real Estate Services,3,2,3250,https://ap.rdcpix.com/2039268394/f17b946dca055b874cb23bdbcd135e33l-m0xd-w480_h480_q80.jpg
fe5169340dd442479d09ac58a5594f28,390000,USD,Pauline Knight Realty,2,1,6483,https://ap.rdcpix.com/1894436547/5f51214b2fbdbb8e1da355b449c7188bl-m0xd-w480_h480_q80.jpg
7afd16eabe1940dfb9e980c48a29f28c,1995000,USD,Hilton & Hyland,4,4,7822,https://ap.rdcpix.com/722878317/0ef0122c7a43ad588132a87e73e97f5bl-m0xd-w480_h480_q80.jpg
14d7a25da0dd4fd986f551166d2cb3d6,1190000,USD,Neiman Realty,3,2,4877,https://ap.rdcpix.com/485027279/d05aad77ccbf465ecbfb007b0b8cfdfcl-m0xd-w480_h480_q80.jpg
d75e1369eea04f3cbc34b714783fd1ac,,,,,,,
1aeadb4ab36d4c7fa2bd3f2673180ab1,,,,,,,
1b2b6754faec491aa0da402702e940b8,4289000,USD,Coldwell Banker Residential Brokerage - Beverly Hills North,5,,8245,https://ap.rdcpix.com/342403921/934c067da2d96551704cd45a18266210o-w0s.jpg
c8b91940a51a45efa8288d7c0ddc57e8,350000,USD,Realty World Prestige,2,1,1969,https://ap.rdcpix.com/536314296/16d07ffca28700b18e7079529ea2010fl-m0xd-w480_h480_q80.jpg
3b80dcb64d744968a9d6efcb7ba0a26d,935000,USD,Kapri Tiffany Younger,3,2,6878,https://ap.rdcpix.com/281305274/fc5ed8cdf5abd4c8c22211f0adb35d3el-m0xd-w480_h480_q80.jpg
737b02ab744f4cfa9204dac4808fa400,1995000,USD,Keller Williams Silicon Beach,5,4,6111,https://ap.rdcpix.com/1733571883/f5d2cc4cac3180b3e8eebdefeb6051ecl-m0xd-w480_h480_q80.jpg
9eeea97c000f4e47adf315a9f0ea17dc,2495000,USD,Hilton & Hyland,3,2,6553,https://ap.rdcpix.com/2018202630/ead18c3ee7d94bd86f77ba29762dab4cl-m0xd-w480_h480_q80.jpg
5cf9a76faea84d4293da6bf66de25612,860000,USD,Dilbeck Real Estate,5,3,6370,https://ap.rdcpix.com/1686328373/30ca0701eb7266a3de0e288a8d150057l-m0xd-w480_h480_q80.jpg
8377d429414e418dbce45c7b89e8d191,1100000,USD,Intero Real Estate Services,4,3,7400,https://ap.rdcpix.com/1524173052/ea708ad410f9de52a67dc05fa2c07e5dl-m0xd-w480_h480_q80.jpg
3000afbe58564d2fbb0bd15459c12f93,5675000,USD,Coldwell Banker Residential Brokerage - Brentwood,4,4,,https://ap.rdcpix.com/342403921/076f09ae37bc8febe2b318bad4f73314o-w0s.jpg
