id,price,price_currency,manufacturer,beds,baths,lot_size,image_url
6323d891a6bf4e1bbe9aded3217a459f,257000,USD,United Realty Group,3,2,6534,https://ap.rdcpix.com/1012348792/448dd2aec5673f3e5973671541e0d3e4l-m0xd-w480_h480_q80.jpg
482fe99b0bc4407caaf97104c1f4703b,314888,USD,Realty ONE Group - HENDERSON,3,3,2178,https://ap.rdcpix.com/1826574045/8c826425a594722657bce6d8a8db561fl-m0xd-w480_h480_q80.jpg
927a1caddddc4f0ba2a3bd703b85d290,327800,USD,Picozzi Real Estate Llc,3,,3049,https://ap.rdcpix.com/1661034603/ff182bd527a9e5fde77c99f27569cd31l-m0xd-w480_h480_q80.jpg
e19e5ce4c0b143ee89ddb69124674d7d,,,,,,,
cbd695c7b9ef4ffeba26c7dd122ffd52,,,,,,,
cb96388bbc0e449aa4164e73afeac68d,520000,USD,Win Win Real Estate,4,3,4356,https://ap.rdcpix.com/1020918940/c42cce78dfab7440938d9fad1f994589l-m0xd-w480_h480_q80.jpg
84b19c69155d47739d96936ebeccce51,340000,USD,Realty Edge,5,3,3485,https://ap.rdcpix.com/753197424/2275b7b20ae49fed237b9e80c457362dl-m0xd-w480_h480_q80.jpg
5e4fcb53add1476a917bdb9b889b7741,399900,USD,Homesmart Encore,4,2,,https://ap.rdcpix.com/262296769/aa79c94bbf0b0bd5b6e7e2c12b0cb853l-m0xd-w480_h480_q80.jpg
875ac92cee164708b10bea0d7ad36e30,299888,USD,Platinum R.E. Professionals,2,2,4356,https://ap.rdcpix.com/1383787750/297fcdf3903cb5c3419377aadf1980f8l-m0xd-w480_h480_q80.jpg
81637292f37a462f9ed5d89b5fa145a3,319900,USD,Hecker Real Estate & Develop,5,,4356,https://ap.rdcpix.com/1665197450/0b38c4df3585dc0eb0e9305b72778fefl-m0xd-w480_h480_q80.jpg
649503b0b4b843a5a9069e3a44898fac,375000,USD,Kim's Realty Solutions,4,,5227,https://ap.rdcpix.com/959253095/b2922c0acb4c690396b27e661d9f32f6l-m0xd-w480_h480_q80.jpg
fdbbffc083f74bb9ad1d5bfc9ec14442,628000,USD,Realty Pros,5,3,,https://ap.rdcpix.com/1135197257/3b9b6c4dcc56af569d2ac5333a2876fal-m0xd-w480_h480_q80.jpg
c27a6b060eee4482bd1ed9b9e0da42ab,289000,USD,Investpro Realty,4,,3920,https://ap.rdcpix.com/499158020/998c5a017245d34b0984f80c4bc49a1fl-m0xd-w480_h480_q80.jpg
2b20a00c27774556bba7c401f7ea2b49,,,,,,,
7f298305af434b519cba52b6e3ac8a9a,,,,,,,
5b699431f8dd407bb3bb80a73fb15825,260000,USD,Urban Nest Realty,3,,2178,https://ap.rdcpix.com/1579261104/dafdd54e5f6c4465825aa6ec26fa8e31l-m0xd-w480_h480_q80.jpg
