id,price,price_currency,manufacturer,beds,baths,lot_size,image_url
1062cb8487ee473887f29d252ca15b48,875000,USD,"Prime Time Real Estate, Inc.",8,6,7560,https://ap.rdcpix.com/1593244539/4c42c348d01f4eb72e6ba57f67765374l-m0xd-w480_h480_q80.jpg
970ce276020c4e9eb826395c5fce5b47,759000,USD,Classic Home Sales,4,,4200,https://ap.rdcpix.com/1078978476/e8b695569658cfa886f1e3e7db23661cl-m0xd-w480_h480_q80.jpg
e6224d7858dc44748073a7bf2205e1a7,680000,USD,Momentum Real Estate Llc,5,,2000,https://ap.rdcpix.com/1106250194/74c8a6e462cba9ceb03675bf5d4414fal-m0xd-w480_h480_q80.jpg
ad755c5e22f74a268ea18cbef4459fb6,,,,,,,
5d7ca593297443caa4fc1806184e3aff,,,,,,,
57b5e09cf6bc444eb81727a5cf1bcf18,699000,USD,"Kling Real Estate, Ltd.",3,,2500,https://ap.rdcpix.com/1718301445/ec3c74f914a23214ba3ae767a0677fb4l-m0xd-w480_h480_q80.jpg
235f5438662442f693bc29c39b9523b1,999999,USD,Exit Realty First Choice,4,2,9383,https://ap.rdcpix.com/38696367/319f882185cce55c4a294bf5515a4865l-m0xd-w480_h480_q80.jpg
5a0efc249ff440e89de7541683ba4503,625000,USD,Hand In Hand Realty Corp,4,,6900,https://ap.rdcpix.com/437750520/547cd2ed238540cb14675c58c47c213dl-m0xd-w480_h480_q80.jpg
a6d08c09285d4a3a99ffebcef532b7e1,1788000,USD,East Coast Realtors  Inc,4,,,https://ap.rdcpix.com/401637981/45b08dafb29f3adadc826ca3add842d8l-m0xd-w480_h480_q80.jpg
dc221d2dae3b45f29913dcb31b9ae246,1089000,USD,BERGEN BASIN REALTY,8,,3185,https://p.rdcpix.com/v03/oc4970d00-c0s.gif
6534f20879af4471bca92b2b67b2c64f,1500000,USD,Flateau Realty Corp,0,,,https://ap.rdcpix.com/798371417/bc037eda63560267ac9468d3d04636del-m0xd-w480_h480_q80.jpg
b92d8c97e2094099aac1a3ae2872ab2f,1198000,USD,"Robert Defalco Realty, Inc.",6,4,,https://ap.rdcpix.com/900146803/1811ed104206b7d6a0004663a14c57c0l-m0xd-w480_h480_q80.jpg
8e9d011967cc494fb59417bb4d1a98e3,449000,USD,Century 21 Metro Star,3,,1799,https://ap.rdcpix.com/1116566857/81cd1f9d603d420633f4bf2bf9fb0222l-m0xd-w480_h480_q80.jpg
f795491b300046a1a1ab4d64be921609,,,,,,,
a85b3ecaf4274d7ea1cde23c0c02d0a7,,,,,,,
82b207db6d4c4b3eb2d02123ee055b73,320000,USD,"Tom Marco Real Estate, Inc.",3,2,2100,https://ap.rdcpix.com/109063468/b6dd826100478e09625d0324b73c1c6bl-m0xd-w480_h480_q80.jpg
98ba2932f58245d48f69eeba8ad5f329,899000,USD,Exit Realty Top Properties,4,3,8160,https://ap.rdcpix.com/1986873593/d0232da16f1eea1116f9c53ede7d0ccdl-m0xd-w480_h480_q80.jpg
dc67a0cf23694764bebe0879c7db48a8,1250000,USD,"Kling Real Estate, Ltd.",5,,,https://ap.rdcpix.com/456217428/c6636eee59d842d49d343ae2d26a14a7l-m0xd-w480_h480_q80.jpg
f7d4e97de3b44e6db1a4c7cbc951f3db,829000,USD,The Corcoran Group - Chelsea/Flatiron,2,1,,https://ap.rdcpix.com/968167237/8404a4cae6bbd9bb277c3d0165c23c93l-m0xd-w480_h480_q80.jpg
